Station,Country,County,TOC,Visited,Latitude,Longitude,Date
Garston (Hertfordshire),England,Hertfordshire,West Midlands Trains,No,51.6866146882955,-0.381741213587884,
Garswood,England,Merseyside,Northern,No,53.4885228462082,-2.67213496487047,
Gartcosh,Scotland,North Lanarkshire,ScotRail,No,55.8856655213683,-4.0794950329411,
Garth (Mid-Glamorgan),Wales,Pen-y-bont ar Ogwr - Bridgend,Transport for Wales,No,51.5964598445663,-3.64145068487318,
Garth (Powys),Wales,Powys - Powys,Transport for Wales,No,52.1332403844721,-3.52990778325094,
Garve,Scotland,Highland,ScotRail,No,57.6130466094469,-4.6883963248569,
Gathurst,England,Greater Manchester,Northern,No,53.5594052283238,-2.69439359809359,
Gatley,England,Greater Manchester,Northern,No,53.3929065592229,-2.23123425803736,
Gatwick Airport,England,West Sussex,GTR,No,51.1564892793918,-0.161041534688098,
Georgemas Junction,Scotland,Highland,ScotRail,No,58.5136271736984,-3.45212085822396,
Gerrards Cross,England,Buckinghamshire,Chiltern Railways,No,51.5890222051815,-0.555275422196685,
Gidea Park,England,London (City Of),TfL Rail,No,51.5819019565528,0.205964300058707,
Giffnock,Scotland,East Renfrewshire,ScotRail,No,55.8039950697486,-4.29301520024745,
Giggleswick,England,North Yorkshire,Northern,No,54.0618024962135,-2.30284801630944,
Gilberdyke,England,East Riding of Yorkshire,Northern,No,53.7479630906218,-0.73224344785332,
Gilfach Fargoed,Wales,Caerffili - Caerphilly,Transport for Wales,No,51.6842528100711,-3.22656863026563,
Gillingham (Dorset),England,Dorset,South Western Railway,No,51.0340364196905,-2.27262400569309,
Gillingham (Kent),England,Kent,Southeastern,No,51.3865628367939,0.549849975746005,
Gilshochill,Scotland,Glasgow City,ScotRail,No,55.897343092772,-4.28268544801919,
Gipsy Hill,England,London (City Of),GTR,No,51.4244515495985,-0.0838359193392377,
Girvan,Scotland,South Ayrshire,ScotRail,No,55.246318566381,-4.84838258218449,
Glaisdale,England,North Yorkshire,Northern,No,54.4393809349983,-0.793787833434208,
Glan Conwy,Wales,Conwy - Conwy,Transport for Wales,No,53.2674259523784,-3.79772818382623,
Glasgow Central,Scotland,Glasgow City,Network Rail,No,55.8597611220755,-4.25764427147523,
Glasgow Queen Street,Scotland,Glasgow City,ScotRail,No,55.8621932785207,-4.25145684628951,
Glasshoughton,England,West Yorkshire,Northern,No,53.709043569431,-1.34200520311902,
Glazebrook,England,Cheshire,Northern,No,53.4283618664117,-2.45965774285801,
Gleneagles,Scotland,Perth and Kinross,ScotRail,No,56.2748538679223,-3.73116869415328,
Glenfinnan,Scotland,Highland,ScotRail,No,56.872409157321,-5.44962144461022,
Glengarnock,Scotland,North Ayrshire,ScotRail,No,55.7388933086603,-4.67450285410692,
Glenrothes with Thornton,Scotland,Fife,ScotRail,No,56.1623603600939,-3.1430158601085,
Glossop,England,Derbyshire,Northern,No,53.4444712318736,-1.94907395313458,
Gloucester,England,Gloucestershire,Great Western Railway,yes,51.8655605144798,-2.23848790484313,
Glynde,England,East Sussex,GTR,No,50.8591702144894,0.0700772878696409,
Gobowen,England,Shropshire,Transport for Wales,No,52.8935180650251,-3.03717308499659,
Godalming ,England,Surrey,South Western Railway,No,51.186585921505,-0.618862331615451,
Godley,England,Greater Manchester,Northern,No,53.4517051977502,-2.05477260308077,
Godstone ,England,Surrey,GTR,No,51.2181558172133,-0.0500850012889198,
Goldthorpe,England,South Yorkshire,Northern,No,53.5341898861407,-1.31280778570287,
Golf Street,Scotland,Angus,ScotRail,No,56.4977965346615,-2.71954392312506,
Golspie,Scotland,Highland,ScotRail,No,57.9714691985912,-3.98721576849113,
Gomshall ,England,Surrey,Great Western Railway,No,51.2193975424127,-0.441852194682862,
Goodmayes,England,London (City Of),TfL Rail,No,51.5655770865087,0.110807067219603,
Goole,England,East Riding of Yorkshire,Northern,No,53.7049141368498,-0.874213506853866,
Goostrey,England,Cheshire,Northern,No,53.2225542420521,-2.32647062196789,
Gordon Hill,England,London (City Of),GTR,No,51.6633336093912,-0.0946105124636726,
Gorebridge,Scotland,Midlothian,ScotRail,No,55.8402767826394,-3.04651587768389,
Goring & Streatley,England,Oxfordshire,Great Western Railway,No,51.5214929030435,-1.13304945602141,
Goring-by-Sea,England,West Sussex,GTR,No,50.8177202058478,-0.433083115794079,
Gorton,England,Greater Manchester,Northern,No,53.4690756762697,-2.16620966709274,
Gospel Oak,England,London (City Of),London Overground,No,51.5553339798316,-0.150770187040439,
Gourock,Scotland,Inverclyde,ScotRail,No,55.9623249558487,-4.81665893944356,
Gowerton,Wales,Abertawe - Swansea,Transport for Wales,No,51.6487303539145,-4.03593543599281,
Goxhill,England,Lincolnshire,East Midlands Trains,No,53.6767016367335,-0.337120493015181,
Grange Park,England,London (City Of),GTR,No,51.6426058069193,-0.097358506166751,
Grange-over-Sands,England,Cumbria,Northern,No,54.1957250961186,-2.90274777085942,
Grangetown,Wales,Caerdydd - Cardiff,Transport for Wales,No,51.4676150468125,-3.18972442860954,
Grantham,England,Lincolnshire,LNER,No,52.9064717738698,-0.642450315227216,
Grateley ,England,Hampshire,South Western Railway,No,51.1700600828741,-1.62077382846579,
Gravelly Hill,England,West Midlands,West Midlands Trains,No,52.5149974472898,-1.85259861926897,
Gravesend,England,Kent,Southeastern,No,51.441346011536,0.366642983401035,
Grays,England,Essex,C2C,No,51.4762456345275,0.321832149858223,
Great Ayton,England,North Yorkshire,Northern,No,54.4895711302537,-1.11534529939959,
Great Bentley,England,Essex,Greater Anglia,No,51.8517564056418,1.06515337310583,
Great Chesterford,England,Essex,Greater Anglia,No,52.0598088541971,0.193521006507941,
Great Coates,England,Lincolnshire,East Midlands Trains,No,53.5757525817776,-0.130230465339355,
Great Malvern,England,Worcestershire,West Midlands Trains,yes,52.1092007461802,-2.31827112619549,
Great Missenden,England,Buckinghamshire,Chiltern Railways,No,51.7035179982242,-0.709141096280644,
Great Yarmouth,England,Norfolk,Greater Anglia,No,52.6121553184077,1.72088599357988,
Green Lane,England,Merseyside,Merseyrail,No,53.3832574656958,-3.01641526158589,
Green Road,England,Cumbria,Northern,No,54.244528737063,-3.24557141101891,
Greenbank,England,Cheshire,Northern,No,53.2514672060584,-2.53427100429322,
Greenfaulds,Scotland,North Lanarkshire,ScotRail,No,55.9352373330107,-3.99310087977674,
